article	qid	value	result
Småsnäppa			
Kustsnäppa			
Skedstork			
Havssula			
Röd glada			
Rostgumpsvala			
Orre			
Lövsångare			
Sånglärka			
Svartvit flugsnappare			
Grönfink			
Blåhake			
Bofink			
Forsärla			
Kaja			
Nattskärra			
Lundsångare			
Tajgasångare			
Kungsfågelsångare			
Tereksnäppa			
Tordmule			
Härmsångare			
Sothöna			
Gulärla			
Rödstjärt			
Sibirisk tundrapipare			
Videsångare			
Sädgås			
Steglits			
Fjällripa			
Prutgås			
Bergtajgasångare			
Höksångare			
Tärnmås			
Större strandpipare			
Fjällpipare			
Brun glada			
Vitnackad svärta			
Nordsångare			
Nötväcka			
Lappsparv			
Sävsparv			
Skärsnäppa			
Myrsnäppa			
Prärielöpare			
Fiskmås			
Brandkronad kungsfågel			
Sparvhök			
Rörsångare			
Ärtsångare			
Silltrut			
Nötkråka			
Skrattmås			
Vigg			
Tretåig mås			
Tornseglare			
Kråka			
Backsvala			
Lappuggla			
Småskrake			
Snögås			
Trana			
Rödbena			
Pärluggla			
Ängshök			
Ejder			
Småtärna			
Jaktfalk			
Bivråk			
Sommargylling			
Kricka			
Gråtrut			
Brunand			
Vassångare			
Svarthakedopping			
Skäggdopping			
Gråhakedopping			
Smådopping			
Storspov			
Strandskata			
Ortolansparv			
Pungmes			
Stenfalk			
Kornsparv			
Gulsparv			
Rördrom			
Gulhämpling			
Havstrut			
Videsparv			
Tallbit			
Grönsångare			
Slaguggla			
Svartsnäppa			
Entita			
Talltita			
Järpe			
Tofsvipa			
Sångsvan			
Toppskarv			
Vit stork			
Björktrast			
Skäggmes			
Dvärgsparv			
Berguv			
Halsbandsflugsnappare			
Rödvingetrast			
Kornknarr			
Jorduggla			
Dubbelbeckasin			
Smålom			
Rödspov			
Gröngöling			
Havsörn			
Kentsk tärna			
Lappmes			
Ängspiplärka			
Skogssnäppa			
Storlabb			
Snatterand			
Gravand			
Knipa			
Svärta			
Sjöorre			
Svarttärna			
Svartbent strandpipare			
Tobisgrissla			
Rosenfink			
Brushane			
Fjällvråk			
Bergand			
Hornuggla			
Roskarl			
Kungsörn			
Rödstrupig piplärka			
Fältpiplärka			
Fjällgås			
Årta			
Bläsand			
Stjärtand			
Kungsfiskare			
Drillsnäppa			
Trastsångare			
Busksångare			
Duvhök			
Blåmes			
Kattuggla			
Tallsparv			
Amerikansk bläsand			
Ringand			
Vitögd dykand			
Praktejder			
Alförrädare			
Vitkindad gås			
Rödhalsad gås			
Medelhavstrut			
Kaspisk trut			
Rapphöna			
Mindre sångsvan			
Salskrake			
Gråsiska			
Korp			
Bredstjärtad labb			
Svartmes			
Dammsnäppa			
Talgoxe			
Svarthätta			
Spetsbergsgås			
Pilfink			
Gråsparv			
Sädesärla			
Domherre			
Lärkfalk			
Knölsvan			
Brun kärrhök			
Dvärgbeckasin			
Mindre lira			
Sidensvans			
Tjäder			
Korttålärka			
Större piplärka			
Finkar			
Grå flugsnappare			
Stäpphök			
Vinterhämpling			
Lunnefågel			
Berglärka			
Taltrast			
Gluttsnäppa			
Myrspov			
Svarthalsad dopping			
Sandlöpare			
Ljungpipare			
Stenskvätta			
Mindre skrikörn			
Aftonfalk			
Spillkråka			
Storskrake			
Varfågel			
Gransångare			
Småspov			
Svart rödstjärt			
Snösparv			
Klykstjärtad stormsvala			
Tornfalk			
Storlom			
Stormfågel			
Ladusvala			
Vattenpiplärka			
Tofsmes			
Grönsiska			
Gråhäger			
Koltrast			
Silvertärna			
Tajgablåstjärt			
Rosenstare			
Alkekung			
Mindre strandpipare			
Enkelbeckasin			
Hökuggla			
Gråspett			
Turturduva			
Blåkråka			
Flodsångare			
Skräntärna			
Större skrikörn			
Beckasiner			
Tärnor			
Labbar			
Kråkfåglar			
Ormvråk			
Tuvsnäppa			
Spovsnäppa			
Ägretthäger			
Svarthuvad mås			
Vittrut			
Småfläckig sumphöna			
Turkduva			
Vaktel			
Bläsgås			
Mindre flugsnappare			
Törnskata			
Svart stork			
Bändelkorsnäbb			
Hämpling			
Blå kärrhök			
Rostand			
Sparvuggla			
Dalripa			
Dvärgmås			
Ringduva			
Gök			
Tofslärka			
Skärfläcka			
Kustlabb			
Vitvingad tärna			
Vattenrall			
Morkulla			
Kärrsnäppa			
Mosnäppa			
Fjällabb			
Storskarv			
Fasan			
Brunsångare			
Trädgårdsträdkrypare			
Citronärla			
Kärrsångare			
Törnsångare			
Bergfink			
Brednäbbad simsnäppa			
Trädkrypare			
Gärdsmyg			
Svartpannad törnskata			
Måsar och trutar			
Nilgås			
Grönbena			
Stare			
Skogsduva			
Härfågel			
Kustpipare			
Hussvala			
Vitvingad trut			
Ugglefåglar			
Mindre hackspett			
Svartnäbbad islom			
Rödhuvad dykand			
Gräshoppsångare			
Mindre sumphöna			
Snösiska			
Svartkråka			
Mindre korsnäbb			
Biätare			
Sillgrissla			
Svarthalsad trast			
Stenknäck			
Dubbeltrast			
Större korsnäbb			
Ringtrast			
Strömstare			
Trädpiplärka			
Järnsparv			
Buskskvätta			
Trädgårdssångare			
Sävsångare			
Trädlärka			
Vitnäbbad islom			
Stjärtmes			
Skärpiplärka			
Fisktärna			
Amerikansk kricka			
Hökfåglar			
Grålira			
Råka			